Week,Dates,Topic,Homework Due,myCourses Quiz Due,Project,Bonus Due,Recitation
1,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
2,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
3,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
4,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
5,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
6,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
7,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
8,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
9,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
10,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
11,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
12,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
13,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
14,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
15,Class 1,,,,,,
,Class 2,,,,,,
,Class 3,,,,,,
